학구ID,학구명,학구분류,시도코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명,
Z000300001,동부학교군,0,11,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2016-08-12,2016-08-12,28,2019-09-16,7001220,한국교원대학교,
Z000300002,서부학교군,0,11,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2016-08-12,2016-08-12,9,2019-09-16,7001220,한국교원대학교,
Z000300003,남부학교군,0,11,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2016-08-12,2016-08-12,8,2019-09-16,7001220,한국교원대학교,
Z000300004,북부학교군,0,11,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2016-08-12,2016-08-12,14,2019-09-16,7001220,한국교원대학교,
Z000300005,중부학교군,0,11,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2016-08-12,2016-08-12,10,2019-09-16,7001220,한국교원대학교,
Z000300006,강동송파학교군,0,11,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2016-08-12,2016-08-12,15,2019-09-16,7001220,한국교원대학교,
Z000300007,강서학교군,0,11,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2016-08-12,2016-08-12,26,2019-09-16,7001220,한국교원대학교,
Z000300008,강남학교군,0,11,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,16,2019-09-16,7001220,한국교원대학교,
Z000300009,동작관악학교군,0,11,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2016-08-12,2016-08-12,17,2019-09-16,7001220,한국교원대학교,
Z000300010,성동광진학교군,0,11,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2016-08-12,2016-08-12,29,2019-09-16,7001220,한국교원대학교,
Z000300011,성북학교군,0,11,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2016-08-12,2016-08-12,13,2019-09-16,7001220,한국교원대학교,
Z000300012,서부고등학군,0,26,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2016-08-12,2016-08-12,53,2019-09-16,7001220,한국교원대학교,
Z000300013,남부고등학군,0,26,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2016-08-12,2016-08-12,23,2019-09-16,7001220,한국교원대학교,
Z000300014,동래고등학군,0,26,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2016-08-12,2016-08-12,54,2019-09-16,7001220,한국교원대학교,
Z000300015,북부고등학군,0,26,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2016-08-12,2016-08-12,21,2019-09-16,7001220,한국교원대학교,
Z000300016,해운대고등학군,0,26,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2016-08-12,2016-08-12,22,2019-09-16,7001220,한국교원대학교,
Z000300017,고등학교1학군,0,27,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2016-08-12,2016-08-12,25,2019-09-16,7001220,한국교원대학교,
Z000300018,고등학교2학군,0,27,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-08-12,24,2019-09-16,7001220,한국교원대학교,
Z000300019,1학교군,0,28,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2016-08-12,55,2019-09-16,7001220,한국교원대학교,
Z000300020,2학교군,0,28,7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2016-08-12,2016-08-12,30,2019-09-16,7001220,한국교원대학교,
Z000300021,특수지고등학군,0,28,7310000,인천광역시교육청,7321000,인천광역시남부교육지원청,2016-08-12,2017-02-14,52,2019-09-16,7001220,한국교원대학교,
Z000300022,3학교군,0,28,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2016-08-12,2016-08-12,31,2019-09-16,7001220,한국교원대학교,
Z000300023,광주광역시단일학교군,0,29,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2016-08-12,2017-02-14,18,2019-09-16,7001220,한국교원대학교,
Z000300024,대전광역시단일학교군,0,30,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,48,2019-09-16,7001220,한국교원대학교,
Z000300025,동부학교군,0,31,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2016-08-12,20,2019-09-16,7001220,한국교원대학교,
Z000300026,북부학교군,0,31,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2016-08-12,19,2019-09-16,7001220,한국교원대학교,
Z000300027,중부학교군,0,31,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2018-07-12,2018-07-12,58,2019-09-16,7001220,한국교원대학교,
Z000300028,남부학교군,0,31,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2018-07-12,2018-07-12,59,2019-09-16,7001220,한국교원대학교,
Z000300029,언양특수학교군,0,31,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,27,2019-09-16,7001220,한국교원대학교,
Z000300030,수원1구역,0,41,7530000,경기도교육청,7541000,경기도수원교육지원청,2016-08-12,2016-08-12,51,2019-09-16,7001220,한국교원대학교,
Z000300031,수원2구역,0,41,7530000,경기도교육청,7541000,경기도수원교육지원청,2016-08-12,2016-08-12,50,2019-09-16,7001220,한국교원대학교,
Z000300032,성남1구역,0,41,7530000,경기도교육청,7551000,경기도성남교육지원청,2016-08-12,2016-08-12,47,2019-09-16,7001220,한국교원대학교,
Z000300033,성남2구역,0,41,7530000,경기도교육청,7551000,경기도성남교육지원청,2016-08-12,2016-08-12,39,2019-09-16,7001220,한국교원대학교,
Z000300034,의정부학군,0,41,7530000,경기도교육청,7561000,경기도의정부교육지원청,2016-08-12,2016-08-12,32,2019-09-16,7001220,한국교원대학교,
Z000300035,안양권1구역,0,41,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2016-08-12,2016-08-12,45,2019-09-16,7001220,한국교원대학교,
Z000300036,안양권2구역,0,41,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2016-08-12,2016-08-12,49,2019-09-16,7001220,한국교원대학교,
Z000300037,부천학군,0,41,7530000,경기도교육청,7581000,경기도부천교육지원청,2016-08-12,2016-08-12,34,2019-09-16,7001220,한국교원대학교,
Z000300038,광명학군,0,41,7530000,경기도교육청,7591000,경기도광명교육지원청,2016-08-12,2016-08-12,33,2019-09-16,7001220,한국교원대학교,
Z000300039,안산1구역,0,41,7530000,경기도교육청,7611000,경기도안산교육지원청,2016-08-12,2016-08-12,42,2019-09-16,7001220,한국교원대학교,
Z000300040,안산2구역,0,41,7530000,경기도교육청,7611000,경기도안산교육지원청,2016-08-12,2016-08-12,44,2019-09-16,7001220,한국교원대학교,
Z000300041,고양1구역,0,41,7530000,경기도교육청,7621000,경기도고양교육지원청,2016-08-12,2016-08-12,41,2019-09-16,7001220,한국교원대학교,
Z000300042,고양2구역,0,41,7530000,경기도교육청,7621000,경기도고양교육지원청,2016-08-12,2016-08-12,40,2019-09-16,7001220,한국교원대학교,
Z000300043,안양권3구역,0,41,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2016-08-12,2016-08-12,35,2019-09-16,7001220,한국교원대학교,
Z000300044,안양권4구역,0,41,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2016-08-12,2016-08-12,46,2019-09-16,7001220,한국교원대학교,
Z000300045,용인1구역,0,41,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2016-08-12,43,2019-09-16,7001220,한국교원대학교,
Z000300046,용인2구역,0,41,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2016-08-12,36,2019-09-16,7001220,한국교원대학교,
Z000300047,용인3구역,0,41,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2016-08-12,37,2019-09-16,7001220,한국교원대학교,
Z000300048,청주시고등학군,0,43,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2016-08-12,2016-08-12,38,2019-09-16,7001220,한국교원대학교,
Z000300049,천안시학교군,0,44,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2016-08-12,2016-08-12,4,2019-09-16,7001220,한국교원대학교,
